Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total kebutuhan lahan,LRC,LPC
Industri Tepung,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,2.46E-06,406854.4545
Industri Gula,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,6.83E-06,146475.3111
Industri Makanan Lainnya,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,1.17E-06,855131.5315
Industri Minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,2.58E-05,38755.05753
Industru Rokok,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,0,0
Industri Tekstil Pakaian dan Kulit,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,2.28E-05,43900.32108
Industri Bambu Kayu dan Rotan,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,1.59E-06,626995.8821
Industri Kertas Barang-barang dari Kertas dan Penjilidan,Industri Pengolahan,0,0,0,0,0,0,274159.0958,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,278609.8651,0.014940364,66.93277284
Industri Pupuk dan Pestisida,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,1.41E-06,709147.4375
Industri Kimia,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,4.03E-06,247845.4526
Pengilangan Minyak Bumi,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,1.78E-07,5614660.703
Industri Barang Karet dan Plastik,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,1.41E-06,710753.8897
Industri Barang-barang dari Mineral Bukan Logam,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,1.36E-05,73765.94368
Industri Semen,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,2.07E-05,48324.71663
Industri Logam Dasar Besi dan Baja,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,3.00E-05,33349.07276
Industri Logam Dasar Bukan Besi,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,1.49E+11,6.70E-12
Industri Barang dari Logam lainnya,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,2.86E-05,34998.94035
Industri Mesin Alat-alat dan Perlengkapan Listrik,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,5.50E-05,18186.35042
Industri Alat Pengangkutan dan Perbaikannya,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,3.24E-05,30860.60475
Industri yang Belum Digolongkan dimanapun,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,1.03E-05,96917.66155
Listrik Gas dan Air Minum,Pengadaan Listrik Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,2.12E-06,472287.1175
Bangunan,Konstruksi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,96,4546.769293,2.80E-07,3573057.509
Perdagangan,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,2.94E-07,3396413.509
Hotel dan Restoran,Penyediaan Akomodasi dan Makan Minum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,2.41E-06,414605.6285
Angkutan Kereta Api,Transportasi dan Pergudangan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,5.26E-06,190076.8034
Angkutan Jalan Raya,Transportasi dan Pergudangan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,1.35E-06,742172.6137
Angkutan Air,Transportasi dan Pergudangan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,5.95E-06,168135.0508
Angkutan Udara dan Jasa Penunjang Angkutan,Transportasi dan Pergudangan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,96,4546.769293,5.16E-06,193816.0797
Komunikasi,Informasi dan Komunikasi ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,3.18E-06,314408.5613
Bank dan Lembaga Keuangan lainnya,Jasa Keuangan dan Asuransi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,1.36E-05,73667.41651
Usaha Bangunan dan Jasa Perusahaan,Real Estat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,1.30E-06,770075.4858
Pemerintahan Umum dan Jasa,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,9.15E-07,1092576.739
Jasa Sosial Kemasyarakatan,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,3.58E-06,279424.3249
Jasa Lainnya,Jasa lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,2.40E-06,416949.7176
Kegiatan yang tak jelas batasannya,Jasa lainnya,250544,196715.4,1792.8,37340.1,60804.8,62037.5,5915.504173,0,370954.8,726940,0,320489.4,550003.4,0,21905.2,0,5595.3,195041.2,0,28694.8,81271.2,0,288,2916333.404,0,0
