Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total kebutuhan lahan,LRC,LPC
Perairan Umum,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,104,0.001116772,895.4381964
Budidaya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6,0,0,0,0,0,0,0,0,41.6,0.000550324,1817.11033
Pertambangan migas,Pertambangan dan Penggalian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23918.1,1467.8,0,0,0,0,25385.9,0.003417269,292.6313618
Pertambangan non migas,Pertambangan dan Penggalian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23918.1,1467.8,0,0,0,0,25385.9,0.039441149,25.35423096
Penggalian,Pertambangan dan Penggalian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23918.1,2935.6,0,0,0,0,26853.7,0.246070087,4.063882817
Industri Pengilangan Migas,Pertambangan dan Penggalian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,1467.8,0,0,0,0,3756.05,0.006590916,151.7239885
Industri Minyak Kelapa,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.004524344,221.0265172
Industri CPO,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.000873075,1145.377432
"Industri penggilingan, Padi, Biji-bijian dan tepung",Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.001255838,796.2812459
Industri makanan lainnya,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.001319107,758.088557
Industri minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.066692922,14.99409498
"Industri tekstil, barang dari kulit dan alas kaki",Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.016295326,61.36729
Industri penggergajian dan pengolahan kayu,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.00694146,144.0619148
Industri kayu lapis dan sejenisnya,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.001080299,925.6699618
Industri bahan dan perabot dari kayu,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.003813599,262.2195042
Industri karet dan barang dari karet dan barang plastik,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.000763523,1309.718531
Industri Kertas dan barang dari kertas,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.00600077,166.6452881
Industri Kimia,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.068975135,14.49797818
Industri pupuk,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.016999275,58.8260367
Industri barang mineral bukan logam,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.002338982,427.5364118
"Industri barang dari logam, mesin-mesin dan peralatannya",Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.002454251,407.4562099
Industri barang lainnya,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.008525379,117.2968326
Listrik,Pengadaan Listrik Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.003464863,288.6117092
Air Minum,Pengadaan Air Pengelolaan Sampah Limbah dan Daur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.002014973,496.2846475
Bangunan,Konstruksi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,13.4,2301.65,0.00038733,2581.778991
Perdagangan,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.00062317,1604.698385
Hotel,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.002809601,355.9224794
Restoran,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.002212732,451.9300406
Angkutan jalan raya,Transportasi dan Pergudangan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.001025137,975.4798138
Angkutan laut,Transportasi dan Pergudangan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.002619537,381.7468886
Angkutan sungai dan danau,Transportasi dan Pergudangan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.008440376,118.4781344
Angkutan udara,Transportasi dan Pergudangan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,26.8,2315.05,0.002231936,448.0415534
Jasa penunjang Angkutan,Transportasi dan Pergudangan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.005644132,177.1751525
Komunikasi,Informasi dan Komunikasi ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.004840263,206.6003521
Bank,Jasa Keuangan dan Asuransi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.001887973,529.6685462
Asuransi,Jasa Keuangan dan Asuransi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.012203146,81.94607988
Lembaga Keuangan,Jasa Keuangan dan Asuransi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.004796454,208.4873621
Jasa persewaan,Jasa Perusahaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.00808349,123.7089491
Jasa perusahaan,Jasa Perusahaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.002924105,341.9849393
Pemerintahan Umum dan pertahanan,Administrasi Pemerintahan Pertahanan dan Jaminan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.000737526,1355.884873
Jasa Sosial Kemasyarakatan,Jasa Kesehatan dan Kegiatan Sosial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.002057789,485.9585026
Jasa lainnya,Jasa lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.002034811,491.4460569
Kegiatan yang tidak jelas batasannya,Jasa lainnya,448370.5552,189638.0384,112684,28015.8,708.8,3807.6,0,0,0,0,0,0,0,0,0,0,2186.8,167426.7,7339,25806,11439.4,0,26.8,997449.4936,57.34002099,0.017439826
